Date,Operator,Flight phase,Crash location,Total fatalities,Crash cause,Crash year,U Year,Total Death,,P Year,P Count,Operator,Op fatalities,
9/14/1960,American Airlines,Landing (descent or approach),New York-LaGuardia New York,0,Human factor,1960,,,,,,,,
9/16/1960,French Air Force - Armée de l'Air,Flight,Batna Batna,11,Human factor,1960,,,,,,,,
9/19/1960,World Airways,Takeoff (climb),Agana-Antonio Borja Won Pat All Guam Island,80,Human factor,1960,,,,,,,,
9/20/1960,Colombian Air Force - Fuerza Aérea Colombiana,Landing (descent or approach),San Juan de Arama Meta,5,Unknown,1960,,,,,,,,
9/22/1960,United States Navy - USN,Flight,Pacific Ocean All World,29,Technical failure,1960,,,,,,,,
9/22/1960,Paraense Transportes Aéreos,Takeoff (climb),Belém-Val de Cans-Júlio Cezar Ribeiro Pará,6,Unknown,1960,,,,,,,,
9/22/1960,Wheeler Airlines,Takeoff (climb),Campbell Lake Quebec,3,Technical failure,1960,,,,,,,,
9/26/1960,Austrian Airlines,Landing (descent or approach),Moscow-Sheremetyevo Moscow oblast,31,Human factor,1960,,,,,,,,
9/26/1960,Aeroflot - Russian International Airlines,Landing (descent or approach),Brest Brest voblast,1,Human factor,1960,,,,,,,,
9/28/1960,Mexicana de Aviación,Landing (descent or approach),Juchitepec Federal District of Mexico City,8,Weather,1960,,,,,,,,
9/29/1960,United Arab Airlines,Flight,Elbe Island Tuscany,23,Weather,1960,,,,,,,,
9/30/1960,United States Air Force - USAF,Flight,Orinda California,6,Human factor,1960,,,,,,,,
10/4/1960,Eastern Airlines,Takeoff (climb),Boston Massachusetts,62,Other causes,1960,,,,,,,,
10/6/1960,Air Brousse,Landing (descent or approach),Gbadolite Nord-Ubangi,0,Technical failure,1960,,,,,,,,
10/7/1960,Mexican Air Force - Fuerza Aérea Mexicana,Flight,Villa Juárez San Luis Potosí,3,Unknown,1960,,,,,,,,
10/7/1960,Royal Air Force - RAF,Landing (descent or approach),Llanbedr AFB Gwynedd,0,Unknown,1960,,,,,,,,
10/8/1960,TAROM - Transporturile Aeriene Române,Flight,Mironeasa Ia<U+0219>i,0,Unknown,1960,,,,,,,,
10/9/1960,Falcon Airways - UK,Landing (descent or approach),Southend Essex,0,Weather,1960,,,,,,,,
10/11/1960,Somali Air Force - Ciidamada Cirka Soomaaliyeed,Flight,Aden-Khormaksar 'Adan (<U+0639><U+062F><U+0646>),8,Unknown,1960,,,,,,,,
10/11/1960,Overseas Aviation,Landing (descent or approach),Fairoaks Surrey,0,Other causes,1960,,,,,,,,
10/11/1960,Royal Air Force - RAF,Flight,Aden 'Adan (<U+0639><U+062F><U+0646>),7,Human factor,1960,,,,,,,,
10/14/1960,Aerolinee Itavia,Flight,Mt Capanne (Elbe Island) Tuscany,11,Human factor,1960,,,,,,,,
10/15/1960,Capitol Airways,Landing (descent or approach),Plain City Utah,2,Technical failure,1960,,,,,,,,
10/17/1960,Royal Air Force - RAF,Landing (descent or approach),Chivenor AFB Devon,0,Human factor,1960,,,,,,,,
10/20/1960,French Air Force - Armée de l'Air,Flight,Aïn Defla Aïn Defla,6,Unknown,1960,,,,,,,,
10/21/1960,Aeroflot - Russian International Airlines,Landing (descent or approach),Ust-Orda Irkutsk oblast,3,Human factor,1960,,,,,,,,
10/22/1960,Royal Australian Air Force - RAAF,Landing (descent or approach),Wau Morobe,0,Unknown,1960,,,,,,,,
10/28/1960,Northwest Airlines,Landing (descent or approach),Missoula Montana,12,Human factor,1960,,,,,,,,
10/28/1960,Chilean Air Force - Fuerza Aérea de Chile,Flight,Quezalguaque León,0,Unknown,1960,,,,,,,,
10/29/1960,Arctic Pacific Airlines,Takeoff (climb),Toledo-Express Ohio,22,Human factor,1960,,,,,,,,
10/30/1960,Aeroflot - Russian International Airlines,Takeoff (climb),Penza Penza oblast,5,Weather,1960,,,,,,,,
10/31/1960,United States Navy - USN,Landing (descent or approach),McMurdo Sound All Antarctica,0,Other causes,1960,,,,,,,,
11/5/1960,Royal Nepal Airlines,Takeoff (climb),Siddharthanagar Lumbini,4,Unknown,1960,,,,,,,,
11/7/1960,AREA Ecuador - Aerovias Ecuatorianas,Landing (descent or approach),Quito Pichincha,37,Human factor,1960,,,,,,,,
11/8/1960,Lineas Aéreas Costarricenses - LACSA,Landing (descent or approach),Palma Sur Puntarenas (Central and South Pacific),0,Human factor,1960,,,,,,,,
11/8/1960,Iberia - Lineas Aéreas de Espana,Landing (descent or approach),Barcelona Catalonia,0,Human factor,1960,,,,,,,,
11/11/1960,Aeroflot - Russian International Airlines,Takeoff (climb),Zyrianka Republic of Yakutia (Sakha),5,Human factor,1960,,,,,,,,
11/11/1960,British Overseas Airways Corporation - BOAC,Landing (descent or approach),Khartoum Khartoum (<U+0627><U+0644><U+062E><U+0631><U+0637><U+0648><U+0645>),0,Technical failure,1960,,,,,,,,
11/15/1960,United States Navy - USN,Landing (descent or approach),Mt Mariveles Bataan,6,Unknown,1960,,,,,,,,
11/18/1960,United States Air Force - USAF,Landing (descent or approach),Loring AFB Maine,1,Human factor,1960,,,,,,,,
11/21/1960,Bahamas Airways,Landing (descent or approach),Nassau-Oakes Field New Providence,0,Technical failure,1960,,,,,,,,
11/23/1960,Philippine Airlines - PAL,Flight,Mt Baco Occidental Mindoro,33,Human factor,1960,,,,,,,,
11/25/1960,Aeroflot - Russian International Airlines,Flight,Leningrad-Shosseynaya Leningrad oblast,9,Human factor,1960,,,,,,,,
11/26/1960,Aerovias Condor,Landing (descent or approach),Santa Cruz-El Trompillo Santa Cruz,7,Unknown,1960,,,,,,,,
